scenario,monsterId,source,spawnCount,deathCount,leakCount,damageTaken,leakDamage
easy-vs-easy,basic,wave,46,21,18,1908,18
easy-vs-easy,flying,wave,4,0,0,0,0
easy-vs-easy,swift,wave,4,2,2,144,2
medium-vs-medium,basic,wave,46,21,18,1908,18
medium-vs-medium,flying,wave,4,0,0,0,0
medium-vs-medium,swift,wave,4,2,2,144,2
hard-vs-hard,basic,wave,46,21,18,1908,18
hard-vs-hard,flying,wave,4,0,0,0,0
hard-vs-hard,swift,wave,4,2,2,144,2
aggressive-vs-defensive,basic,wave,46,21,18,1908,18
aggressive-vs-defensive,flying,wave,4,0,0,0,0
aggressive-vs-defensive,swift,wave,4,2,2,144,2
defensive-vs-aggressive,basic,wave,46,21,18,1908,18
defensive-vs-aggressive,flying,wave,4,0,0,0,0
defensive-vs-aggressive,swift,wave,4,2,2,144,2
balanced-vs-balanced,basic,wave,46,21,18,1908,18
balanced-vs-balanced,flying,wave,4,0,0,0,0
balanced-vs-balanced,swift,wave,4,2,2,144,2
none-vs-none,basic,wave,46,0,36,0,36
none-vs-none,flying,wave,4,0,0,0,0
none-vs-none,swift,wave,4,0,4,0,4
none-vs-easy,basic,wave,46,21,18,1908,18
none-vs-easy,flying,wave,4,0,0,0,0
none-vs-easy,swift,wave,4,2,2,144,2
easy-vs-none,basic,wave,46,0,36,0,36
easy-vs-none,flying,wave,4,0,0,0,0
easy-vs-none,swift,wave,4,0,4,0,4
easy-vs-easy,basic,wave,46,21,18,1908,18
easy-vs-easy,flying,wave,4,0,0,0,0
easy-vs-easy,swift,wave,4,2,2,144,2
medium-vs-medium,basic,wave,46,21,18,1908,18
medium-vs-medium,flying,wave,4,0,0,0,0
medium-vs-medium,swift,wave,4,2,2,144,2
hard-vs-hard,basic,wave,46,21,18,1908,18
hard-vs-hard,flying,wave,4,0,0,0,0
hard-vs-hard,swift,wave,4,2,2,144,2
aggressive-vs-defensive,basic,wave,46,21,18,1908,18
aggressive-vs-defensive,flying,wave,4,0,0,0,0
aggressive-vs-defensive,swift,wave,4,2,2,144,2
defensive-vs-aggressive,basic,wave,46,21,18,1908,18
defensive-vs-aggressive,flying,wave,4,0,0,0,0
defensive-vs-aggressive,swift,wave,4,2,2,144,2
balanced-vs-balanced,basic,wave,46,21,18,1908,18
balanced-vs-balanced,flying,wave,4,0,0,0,0
balanced-vs-balanced,swift,wave,4,2,2,144,2
none-vs-none,basic,wave,46,0,36,0,36
none-vs-none,flying,wave,4,0,0,0,0
none-vs-none,swift,wave,4,0,4,0,4
none-vs-easy,basic,wave,46,21,18,1908,18
none-vs-easy,flying,wave,4,0,0,0,0
none-vs-easy,swift,wave,4,2,2,144,2
easy-vs-none,basic,wave,46,0,36,0,36
easy-vs-none,flying,wave,4,0,0,0,0
easy-vs-none,swift,wave,4,0,4,0,4
easy-vs-easy,basic,wave,46,21,18,1908,18
easy-vs-easy,flying,wave,4,0,0,0,0
easy-vs-easy,swift,wave,4,2,2,144,2
medium-vs-medium,basic,wave,46,21,18,1908,18
medium-vs-medium,flying,wave,4,0,0,0,0
medium-vs-medium,swift,wave,4,2,2,144,2
hard-vs-hard,basic,wave,46,21,18,1908,18
hard-vs-hard,flying,wave,4,0,0,0,0
hard-vs-hard,swift,wave,4,2,2,144,2
aggressive-vs-defensive,basic,wave,46,21,18,1908,18
aggressive-vs-defensive,flying,wave,4,0,0,0,0
aggressive-vs-defensive,swift,wave,4,2,2,144,2
defensive-vs-aggressive,basic,wave,46,21,18,1908,18
defensive-vs-aggressive,flying,wave,4,0,0,0,0
defensive-vs-aggressive,swift,wave,4,2,2,144,2
