scenario,towerId,level,buildCount,upgradeCount,attackCount,hpDamage,killCount,slowApplications
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
normal-ai-vs-normal-ai,archer,1,9,0,114,2052,23,0
none-vs-normal-ai,archer,1,9,0,114,2052,23,0
