scenario,monsterId,source,spawnCount,deathCount,leakCount,damageTaken,leakDamage
normal-ai-vs-normal-ai,basic,wave,26,24,0,2196,0
none-vs-none,basic,wave,26,0,18,0,18
none-vs-normal-ai,basic,wave,26,12,9,1098,9
normal-ai-vs-none,basic,wave,26,12,9,1098,9
normal-ai-vs-normal-ai,basic,wave,26,24,0,2196,0
none-vs-none,basic,wave,26,0,18,0,18
none-vs-normal-ai,basic,wave,26,12,9,1098,9
normal-ai-vs-none,basic,wave,26,12,9,1098,9
normal-ai-vs-normal-ai,basic,wave,26,24,0,2196,0
none-vs-none,basic,wave,26,0,18,0,18
none-vs-normal-ai,basic,wave,26,12,9,1098,9
normal-ai-vs-none,basic,wave,26,12,9,1098,9
